type,img,name,link,,,
comedian,https://learn-awesome.github.io/assets/people/Jon_Stewart.png,Jon Stewart,jon-stewart-books,,,
comedian,https://learn-awesome.github.io/assets/people/Bryan_Callen.png,Bryan Callen,bryan-callen-books,,,
comedian,https://learn-awesome.github.io/assets/people/Rainn_Wilson.png,Rainn Wilson,rainn-wilson-books,,,
comedian,https://learn-awesome.github.io/assets/people/Whitney_Cummings.png,Whitney Cummings,whitney-cummings-books,,,
comedian,https://learn-awesome.github.io/assets/people/Joel_McHale.png,Joel McHale,joel-mchale-books,,,
comedian,https://learn-awesome.github.io/assets/people/Patton_Oswalt.png,Patton Oswalt,patton-oswalt-books,,,
comedian,https://learn-awesome.github.io/assets/people/Jerrod_Carmichael.png,Jerrod Carmichael,jerrod-carmichael-books,,,
comedian,https://learn-awesome.github.io/assets/people/Mike_Birbiglia.png,Mike Birbiglia,mike-birbiglia-books,,,
comedian,https://learn-awesome.github.io/assets/people/Margaret_Cho.png,Margaret Cho,margaret-cho-books,,,
comedian,https://learn-awesome.github.io/assets/people/Dave_Chappelle.png,Dave Chappelle,dave-chappelle-books,,,
doctor,https://learn-awesome.github.io/assets/people/Peter_Attia.png,Peter Attia,peter-attia-books,,,
doctor,https://learn-awesome.github.io/assets/people/Stanislav_Grof.png,Stanislav Grof,stanislav-grof-books,,,
doctor,https://learn-awesome.github.io/assets/people/Michael_Gervais.png,Michael Gervais,michael-gervais-books,,,
doctor,https://learn-awesome.github.io/assets/people/Dr._Andrew_Weil.png,Dr. Andrew Weil,dr-andrew-weil-books,,,
doctor,https://learn-awesome.github.io/assets/people/Dan_Engle.png,Dan Engle,dan-engle-books,,,
doctor,https://learn-awesome.github.io/assets/people/Martin_Polanco.png,Martin Polanco,martin-polanco-books,,,
doctor,https://learn-awesome.github.io/assets/people/Dr._Phil_Zimbardo.png,Dr. Phil Zimbardo,dr-phil-zimbardo-books,,,
doctor,https://learn-awesome.github.io/assets/people/Danielle_Teller.png,Danielle Teller,danielle-teller-books,,,
doctor,https://learn-awesome.github.io/assets/people/Navdeep_Chandel.png,Navdeep Chandel,navdeep-chandel-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Tim_Ferriss.png,Tim Ferriss,tim-ferriss-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Paul_Graham.png,Paul Graham,paul-graham-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Aubrey_Marcus.png,Aubrey Marcus,aubrey-marcus-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Sam_Altman.png,Sam Altman,sam-altman-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Noah_Kagan.png,Noah Kagan,noah-kagan-books,,,
